date,E-Today(KWH),A0-Grid over voltage,A1-Grid under voltage,A2-Grid absent,A3-Grid over frequency,A4-Grid under frequency,A6-Grid abnormal
2024-11-16,8,0.0,0.0,0.0,0.0,0.0,0.0
2024-11-17,40,0.0,0.0,0.0,0.0,0.0,0.0
2024-11-18,39,0.0,0.0,0.0,0.0,0.0,0.0
2024-11-19,39,0.0,1.0,1.0,0.0,1.0,0.0
2024-11-20,36,0.0,0.0,0.0,0.0,0.0,0.0
2024-11-21,32,0.0,0.0,0.0,0.0,0.0,0.0
2024-11-22,28,0.0,0.0,0.0,0.0,0.0,0.0
2024-11-23,20,0.0,2.0,2.0,2.0,2.0,0.0
2024-11-24,31,0.0,0.0,0.0,0.0,0.0,0.0
2024-11-25,35,0.0,0.0,0.0,0.0,0.0,0.0
2024-11-26,28,0.0,2.0,2.0,2.0,2.0,0.0
2024-11-27,25,0.0,2.0,2.0,0.0,2.0,0.0
2024-11-28,28,0.0,0.0,0.0,0.0,0.0,0.0
2024-11-29,7,0.0,0.0,0.0,0.0,0.0,0.0
2024-11-30,34,0.0,0.0,0.0,0.0,0.0,0.0
2024-12-01,23,0.0,0.0,0.0,0.0,0.0,0.0
2024-12-02,24,0.0,2.0,2.0,2.0,2.0,0.0
2024-12-03,33,0.0,0.0,0.0,0.0,0.0,0.0
2024-12-04,35,0.0,0.0,0.0,0.0,0.0,0.0
2024-12-05,34,0.0,0.0,0.0,0.0,0.0,0.0
2024-12-06,33,0.0,0.0,0.0,0.0,0.0,0.0
2024-12-07,29,0.0,0.0,0.0,0.0,0.0,0.0
2024-12-08,27,0.0,0.0,0.0,0.0,0.0,0.0
2024-12-09,37,0.0,0.0,0.0,0.0,0.0,0.0
2024-12-10,30,0.0,0.0,0.0,0.0,0.0,0.0
2024-12-11,30,0.0,0.0,0.0,0.0,0.0,0.0
2024-12-12,30,0.0,0.0,0.0,0.0,0.0,0.0
2024-12-13,30,0.0,0.0,0.0,0.0,0.0,0.0
2024-12-14,23,0.0,0.0,0.0,0.0,0.0,0.0
2024-12-15,23,0.0,0.0,0.0,0.0,0.0,0.0
2024-12-16,26,0.0,0.0,0.0,0.0,0.0,0.0
2024-12-17,23,0.0,2.0,2.0,2.0,2.0,0.0
2024-12-18,14,0.0,0.0,0.0,0.0,0.0,0.0
2024-12-19,22,0.0,0.0,0.0,0.0,0.0,0.0
2024-12-20,22,0.0,2.0,4.0,0.0,2.0,0.0
2024-12-21,20,0.0,0.0,0.0,0.0,0.0,0.0
2024-12-22,18,0.0,0.0,0.0,0.0,0.0,0.0
2024-12-23,20,0.0,0.0,0.0,0.0,0.0,0.0
2024-12-24,20,0.0,0.0,0.0,0.0,0.0,0.0
2024-12-25,25,0.0,0.0,0.0,0.0,0.0,0.0
2024-12-26,25,0.0,0.0,0.0,0.0,0.0,0.0
2024-12-27,18,0.0,0.0,0.0,0.0,0.0,0.0
2024-12-28,21,0.0,0.0,0.0,0.0,0.0,0.0
2024-12-29,22,0.0,0.0,0.0,0.0,0.0,0.0
2024-12-30,26,2.0,0.0,0.0,0.0,0.0,0.0
2024-12-31,11,4.0,0.0,0.0,0.0,0.0,0.0
2025-01-01,17,0.0,0.0,0.0,0.0,0.0,0.0
2025-01-02,14,4.0,0.0,0.0,0.0,0.0,0.0
2025-01-03,25,2.0,0.0,0.0,0.0,0.0,0.0
2025-01-04,7,0.0,0.0,0.0,0.0,0.0,0.0
2025-01-05,30,0.0,0.0,0.0,0.0,0.0,0.0
2025-01-06,38,0.0,0.0,0.0,0.0,0.0,0.0
2025-01-07,36,4.0,0.0,0.0,0.0,0.0,0.0
2025-01-08,38,0.0,0.0,0.0,0.0,0.0,0.0
2025-01-09,37,0.0,0.0,0.0,0.0,0.0,0.0
2025-01-10,29,8.0,0.0,0.0,0.0,0.0,0.0
2025-01-11,28,0.0,0.0,0.0,0.0,0.0,0.0
2025-01-12,26,0.0,0.0,0.0,0.0,0.0,0.0
2025-01-13,32,2.0,0.0,0.0,0.0,0.0,0.0
2025-01-14,18,0.0,0.0,0.0,0.0,0.0,0.0
2025-01-15,24,10.0,0.0,0.0,0.0,0.0,0.0
2025-01-16,26,0.0,0.0,0.0,0.0,0.0,0.0
2025-01-17,25,2.0,2.0,2.0,2.0,2.0,0.0
2025-01-18,26,0.0,0.0,0.0,0.0,0.0,0.0
2025-01-19,13,3.0,0.0,0.0,0.0,0.0,0.0
